GeneName	SAMN15636466	SAMN15636467	SAMN15636468	SAMN15636469	SAMN15636470	SAMN15636471
ACRBP	4	1	2	7	6	1
ACRL	1	0	1	0	0	1
ACSBG1	37	100	100	53	108	46
ACSBG2	2016	2150	1733	2301	2311	2641
ACSF2	2204	1872	2088	1917	1944	2256
ACSF3	396	345	270	431	286	483
ACSL1	1230	943	914	1166	1190	1180
ACSL3	960	849	775	662	777	1077
ACSL4	896	1126	1060	1035	1173	1381
ACSL5	142	200	158	324	349	140
ACSL6	51	61	45	128	118	29
ACSM3	1	2	1	1	2	4
ACSM4	0	0	3	0	4	0
ACSM5	4	5	5	2	36	4
ACSS1A	648	996	889	1130	1750	624
ACSS1B	133	281	126	277	257	339
ACSS2	1621	1483	1271	2627	2162	2044
ACSS3	319	375	361	389	426	585
ACTA1	11699	6228	4869	2183	12436	7182
ACTA2	28037	19125	23076	12516	32707	21051
ACTB	84062	65356	62411	84828	88322	81288
ACTBL2	204	322	174	199	245	364
ACTC1	308	131	77	59	350	326
ACTG1	7987	5721	4516	5707	5896	8867
ACTG2	45071	22534	20127	7056	36521	28757
ACTL6A	1143	1292	876	1209	1327	1572
ACTL7A	0	1	8	3	1	3
ACTL9	5	13	11	1	10	8
ACTN1	6553	6732	6011	5474	9849	5353
ACTN2	6	6	9	2	15	20
ACTN4	6729	6422	6413	8122	7232	7318
ACTR10	1066	840	931	607	781	769
ACTR10L	347	256	51	135	224	203
ACTR1A	2000	2347	2396	2764	2916	2629
ACTR2	3329	3096	2915	4113	4484	3053
ACTR3	4163	3903	3455	4598	4013	4561
ACTR3B	658	521	484	481	508	805
ACTR5	1533	1471	858	1192	1155	1968
ACTR6	1039	932	675	762	821	1003
ACTR8	410	564	432	501	476	599
ACTRT2	0	0	0	0	0	0
ACVR1B	715	1083	938	1113	1117	1355
ACVR1C	14	29	31	32	50	19
ACVR2A	1186	1500	1475	1365	1693	1476
ACVR2B	18	26	21	21	21	42
ACVRL1	492	351	461	775	599	487
ACY1	526	430	348	706	472	560
ACYP1	729	637	493	620	641	772
ACYP2	250	245	164	178	223	241
ADA	1089	1077	1269	1666	1197	1346
ADAL	149	117	130	103	156	135
ADAM10	1520	2355	2342	2711	2900	1769
ADAM11	14	11	15	22	24	13
ADAM12	224	292	242	408	313	334
ADAM15	10	12	4	14	13	11
ADAM17	2053	2174	2166	2324	2241	2426
ADAM19	264	622	216	466	390	995
ADAM20	54	50	49	28	42	43
ADAM20L	31	49	12	29	32	62
ADAM22	169	321	234	275	580	141
ADAM23	276	373	399	385	463	312
ADAM32	5	6	4	7	9	2
ADAM32L1	59	32	45	40	88	37
ADAM32L2	1339	748	628	284	1366	509
ADAM33	1316	1159	2030	2211	2044	1227
ADAM8	274	79	98	221	134	113
ADAM9	2199	2514	2264	2173	2543	3158
ADAM9L	20	22	12	22	33	39
ADAMDEC1	133	220	172	377	299	180
ADAMTS1	2197	1789	2787	1555	2850	1639
ADAMTS10	569	768	790	971	764	784
ADAMTS12	333	414	659	429	642	397
ADAMTS13	701	1337	1387	1406	1550	901
ADAMTS14	1397	2047	1392	2333	1542	2172
ADAMTS15	481	384	476	704	542	636
ADAMTS17	250	299	199	171	279	380
ADAMTS18	30	29	57	13	16	48
ADAMTS19	799	1038	1327	754	1291	824
ADAMTS2	2133	2764	3926	3032	3541	3737
ADAMTS20	182	298	146	135	464	346
ADAMTS3	313	434	332	314	422	557
ADAMTS4	151	53	65	110	83	85
ADAMTS5	336	610	1116	569	1011	477
ADAMTS6	204	281	388	226	359	291
ADAMTS7	1413	1998	2325	3052	1919	2806
ADAMTS8	344	590	529	558	821	1036
ADAMTS9	1593	2212	1998	2755	2077	2495
ADAMTSL1	62	189	154	243	248	236
ADAMTSL2	541	430	523	787	706	478
ADAMTSL2L	176	175	138	201	154	176
ADAMTSL3	1527	3016	3405	1756	3913	1739
ADAMTSL5	149	93	101	93	149	88
ADAP1	473	543	275	565	825	711
ADAP1L	67	104	57	89	113	167
ADAP2	115	57	58	218	199	68
ADAR	2573	2786	2068	3643	2811	3855
ADARB1	320	397	332	445	458	512
ADARB2	32	30	19	22	31	52
ADAT1	473	579	505	379	652	426
ADAT2	265	262	197	188	242	184
ADCK1	118	100	88	114	122	136
ADCK2	207	252	238	326	246	302
ADCK5	21	90	82	93	60	119
ADCY1	666	669	436	525	843	759
ADCY10L1	4	0	0	0	0	0
ADCY10L11	0	0	0	0	0	0
ADCY10L13	0	0	0	0	0	0
ADCY10L4	0	0	0	0	0	0
ADCY10L5	0	0	0	0	0	0
ADCY10L6	0	0	0	0	0	0
ADCY2	259	376	261	313	489	329
ADCY3	410	446	472	574	518	603
ADCY6	386	514	754	570	732	651
ADCY7	151	301	264	599	665	217
ADCY8	90	40	45	65	75	73
ADCY9	3073	4862	3216	4072	3764	5755
ADCYAP1	4	6	3	1	16	5
ADCYAP1R1	71	184	98	58	181	79
ADD1	2816	3688	3762	3831	5014	3323
ADD2	181	154	246	120	565	124
ADD3	1979	3359	3283	3727	4242	2423
ADGB	138	234	165	94	142	283
ADGRA1	379	473	471	405	638	432
ADGRA2	1076	2049	2354	2060	2723	1714
ADGRA3	426	538	657	453	605	486
ADGRB1	24	25	23	15	64	30
ADGRB2	166	96	64	80	91	123
ADGRB3	27	55	28	38	75	43
ADGRD1	417	514	768	700	1114	454
ADGRD2	103	83	80	104	209	201
