GeneName	SAMN15636466	SAMN15636467	SAMN15636468	SAMN15636469	SAMN15636470	SAMN15636471
CREBRF	617	1075	1229	795	1071	794
CREBZF	483	521	533	485	662	436
CREG1	2989	3451	3736	3394	4458	1616
CREG2	306	491	514	419	568	232
CRELD1	2205	1334	1284	1736	1369	1936
CRELD2	1080	679	661	870	628	908
CREM	587	392	376	395	669	297
CRH	16	4	7	4	14	5
CRHBP	201	183	135	191	307	257
CRHR1	86	80	55	86	87	189
CRHR2	64	51	44	73	99	28
CRIM1	571	1286	1503	1311	1617	1045
CRIP1	2229	1777	1770	3051	3366	2061
CRIP2	2401	1501	1727	1911	1874	2478
CRIPT	821	884	968	866	1093	648
CRISP2	0	0	0	0	0	0
CRISPLD1	197	302	272	290	441	273
CRISPLD2	3512	3484	3749	2467	4824	3410
CRK	1094	1182	1328	1127	1360	1012
CRKL	752	954	927	1066	1062	1134
CRLF1	222	102	129	136	172	171
CRLF2	12	12	10	13	11	4
CRLF3	1700	1823	1902	2645	2635	2572
CRLS1	547	508	444	449	452	498
CRMP1	293	297	311	388	382	863
CRNKL1	987	948	876	869	1039	829
CRNN	12	24	4	17	18	35
CROCC	423	754	700	701	885	541
CROT	1699	1535	1517	1451	1879	2093
CRP	25947	29946	11248	27704	9970	48043
CRTAC1	492	387	621	571	1166	676
CRTAM	33	59	35	112	95	56
CRTAP	1733	1206	1496	1254	1402	1523
CRTC1	1156	1809	2004	1946	2425	1654
CRY1	1706	1664	1330	1234	1498	1701
CRY2	2396	2690	2439	2418	2972	2499
CRYAA	12	1	4	4	9	6
CRYAB	134	238	137	158	196	227
CRYBA1	4	6	11	14	16	13
CRYBA2	2	0	1	1	5	4
CRYBA4	9	0	0	1	2	0
CRYBB1	18	5	1	5	17	3
CRYBB2	0	0	0	0	0	0
CRYBB3	12	10	6	4	11	0
CRYBG3	374	1043	1204	1113	1340	763
CRYGN	66	79	94	48	84	34
CRYGS	12	7	1	11	4	11
CRYL1	1018	961	1079	962	1072	1123
CRYM	2961	2950	1961	2290	2148	3686
CRYZ	613	778	527	634	614	813
CRYZL1	363	378	357	320	421	315
CS	3511	2532	2104	2845	2247	3623
CSAD	303	282	279	272	296	254
CSDC2	6	2	0	3	22	10
CSDE1	9805	9437	10575	9123	9726	9624
CSE1L	2738	2910	2531	2598	2641	3877
CSF1	829	589	582	918	878	624
CSF1R	3043	3714	3369	6256	6543	4431
CSF2	0	0	0	0	0	0
CSF2RA	215	161	157	483	548	228
CSF2RB	20	54	52	202	199	61
CSF3	4	4	0	24	2	6
CSF3R	2841	1496	1081	7603	3377	1226
CSGALNACT1	141	163	192	306	358	139
CSGALNACT2	619	715	864	738	1010	794
CSK	1197	1182	1151	2068	1694	1145
CSMD1	60	91	55	151	97	138
CSMD2	275	312	263	253	363	467
CSMD3	58	36	60	33	97	61
CSNK1A1	6989	6407	6766	6730	7254	7036
CSNK1D	1595	1915	1907	1682	2179	1904
CSNK1E	1044	1104	1091	1359	1291	1219
CSNK1G1	1873	2129	1626	1721	1428	3136
CSNK1G2	1228	1051	1074	1321	1080	1006
CSNK2A1	1767	1676	1286	1706	1607	2178
CSNK2A2	2338	2170	1815	2546	1995	2916
CSPG4	830	1391	1175	918	1839	1299
CSPG4B	199	265	339	275	275	328
CSPG5	225	120	276	168	328	62
CSPP1	628	505	464	467	523	633
CSRNP1	458	621	721	723	902	570
CSRNP2	322	265	290	305	282	326
CSRNP3	19	29	19	21	27	40
CSRP1	12921	8471	7810	4779	13161	7496
CSRP2	9840	3946	2583	2081	4700	4685
CSRP3	6	4	2	2	25	2
CST3	15375	11142	13554	21235	14615	14243
CST7	39	56	24	205	174	21
CSTA	476	555	541	588	264	603
CSTB	973	880	832	832	886	966
CSTF1	1016	888	782	887	957	984
CSTF2	1037	924	803	1015	895	1073
CSTF3	702	670	650	677	824	619
CTAGE1	15	5	6	4	8	5
CTBP1	2917	3218	3561	3814	3357	3094
CTBP2	853	683	653	801	628	909
CTBPL	1559	1905	1693	2109	2268	2108
CTBS	812	852	770	899	1192	988
CTC-575C13.4	294	304	160	266	260	432
CTC1	344	458	432	512	531	621
CTCF	1421	1624	1472	2015	1896	1504
CTDP1	268	369	400	396	473	331
CTDSP1	2835	2807	2491	3403	2525	3562
CTDSPL	1968	2421	3262	2174	3340	1809
CTDSPL2	446	600	615	475	664	439
CTGFL	413	347	329	366	505	318
CTH	580	656	573	398	519	598
CTHRC1	588	459	516	785	402	501
CTIF	292	465	487	511	537	444
CTLA4	5	9	1	23	22	5
CTNNA1	7778	7453	7562	8294	8283	8859
CTNNA2	1034	845	878	540	1117	665
CTNNA3	114	187	91	114	209	160
CTNNAL1	1507	1990	1878	1579	1804	2190
CTNNB1	6837	6793	6069	7540	7635	7946
CTNNBIP1	509	483	475	432	574	573
CTNNBL1	930	1090	691	774	902	1066
CTNND1	5071	5553	4900	5752	5629	6264
CTNND2	460	658	421	540	689	794
CTNS	485	511	431	461	492	449
CTPS1	1956	1473	1229	1652	1359	2198
CTPS2	417	406	417	396	505	622
CTR9	1013	1225	1066	1066	1325	1136
CTRB1	1	0	1	1	1	1
CTRC	0	0	0	0	0	0
CTRL	0	0	0	2	0	0
CTSA	9130	6930	6676	10706	7446	8796
CTSB	19465	15839	15087	26252	12831	16947
CTSC	4330	2914	2558	4299	3600	2434
CTSD	8788	12486	8977	15591	9570	12979
CTSE	2	3	0	0	0	1
CTSEAL	8	11	11	30	91	17
CTSG	987	276	226	570	189	221
CTSH	4371	3805	3393	6988	4337	4835
CTSK	9214	11997	11173	7625	5854	10153
CTSO	599	631	866	649	986	625
CTSS	9713	8876	7392	20794	10993	13273
CTSV	6337	6032	5381	5872	5281	7243
CTSZ	3197	2500	2523	3255	2588	2774
CTTN	2465	2603	2995	2201	3044	2216
CTTNBP2	209	411	435	333	600	283
CTTNBP2NL	666	1097	1020	1005	1681	876
CTU2	827	500	462	635	625	748
CTXN1	140	109	127	77	1120	237
CTXN2	8	21	13	27	34	28
CTXN3	0	0	0	0	0	0
CUBN	699	1126	741	914	1068	1519
CUEDC1	792	874	889	878	974	861
CUEDC2	233	280	213	274	252	322
CUL1	1222	1430	1215	1302	1534	1436
CUL2	677	659	580	592	681	625
CUL3	1790	1727	1621	1578	1773	1872
CUL4A	214	210	300	203	358	162
CUL4B	620	1089	1097	910	1202	979
CUL5	641	661	679	621	872	600
CUL9	1051	1191	1137	1774	1484	1512
CUNH17orf49	926	439	427	667	371	521
CUNH19orf54	217	174	134	240	140	219
CUTAL	179	120	116	130	121	189
CUTC	757	602	621	675	683	745
CUX1	2260	1947	2418	2963	2842	1907
CUX2	136	203	216	202	301	235
CUZD1	84	66	85	26	54	91
CWC15	2840	2337	2079	2143	2095	2945
CWC22	608	838	686	764	859	667
CWC25	571	431	350	473	485	460
CWC27	189	155	153	179	152	125
CWF19L1	501	549	351	477	514	607
CWF19L2	274	364	292	321	307	340
CWH43	162	110	276	125	189	158
CX3CL1	426	661	660	1063	944	571
CX3CR1	37	59	36	96	64	28
CXCL12	3068	4766	5362	4835	5340	3380
CXCL13	0	2	2	23	20	0
CXCL13L2	3	1	0	12	2	1
CXCL13L3	31	35	24	24	23	31
CXCL14	109	208	159	234	86	348
CXCR1	75	114	53	198	166	79
CXCR4	642	554	600	967	619	645
CXCR5	0	0	0	0	0	0
CXCR7	873	749	1178	874	1345	616
CXorf21	31	47	62	84	55	45
CXorf23	502	507	583	510	667	478
CXorf36	278	311	392	464	405	282
CXorf40B	342	470	336	360	483	415
CXorf57	552	747	647	795	1003	737
CXorf65	0	0	0	0	0	0
CXXC5	451	374	365	423	358	374
CYB561	0	12	9	0	769	61
CYB561A3	1175	1053	1006	1351	813	1411
CYB561D2	468	404	376	581	405	407
CYB5A	2860	2025	2017	2868	2105	2215
CYB5B	2754	2382	2093	2230	2434	3335
CYB5D2	846	746	538	682	781	1005
CYB5R1	2399	2237	2587	2086	2924	1951
CYB5R2	483	312	346	426	282	466
CYB5R4	442	470	329	394	448	613
CYBA	1617	1196	1258	2016	1460	1239
CYBB	1123	1397	1342	2447	2244	1423
CYBC1	642	747	661	997	950	636
CYBRD1	837	1026	1264	980	1813	874
CYCS	1843	1458	915	1282	1107	1364
CYFIP1	3075	3393	3711	3628	3623	4015
CYFIP2	151	373	287	927	821	294
CYGB	577	557	592	905	1068	864
CYLD	607	931	760	765	1106	754
CYP11A1	2590	1813	2783	4946	4338	3991
CYP17A1	8214	5004	10925	10015	13164	9689
CYP19A1	2283	2881	5686	4745	2255	4305
CYP1A1	63	37	19	63	20	17
CYP1A2	3	4	2	1	1	2
CYP1B1	171	593	427	254	314	336
CYP1C1	19	14	17	15	14	18
CYP20A1	563	505	445	478	512	550
CYP21A1	100	75	77	109	58	128
CYP24A1	307	187	190	74	207	494
CYP26A1	202	358	212	203	263	405
CYP26B1	95	51	29	20	51	68
CYP26C1	35	30	30	23	22	17
CYP27A1	1129	861	620	777	483	1585
CYP27C1	12	24	12	11	28	14
CYP2AB1	323	195	633	327	82	233
CYP2AB2	9	4	8	8	5	3
CYP2AB3	11	0	6	0	1	5
CYP2AB4	0	1	0	1	0	0
CYP2AB5	5	6	4	4	3	5
CYP2AC1	1	4	0	2	2	3
CYP2AC2	3	0	1	1	1	1
CYP2AC7	0	2	3	1	2	4
CYP2C18	4	2	3	1	6	3
CYP2C23a	1	2	5	0	1	1
CYP2C23b	78	118	62	94	100	192
CYP2D6	492	600	598	887	913	472
CYP2J19	544	434	231	332	345	837
CYP2J21	140	123	172	132	263	89
CYP2J22	445	248	382	351	672	291
CYP2J23	116	109	159	261	270	176
CYP2J24P	70	43	20	75	42	90
CYP2R1	52	60	50	44	95	21
CYP2U1	338	378	421	427	428	409
CYP2W1	2	3	3	1	9	7
CYP2W2	97	143	119	72	104	156
CYP39A1	312	465	400	442	646	619
CYP3A4	499	635	425	542	614	873
CYP3A5	222	212	32	206	122	311
CYP46A1	692	746	914	728	770	773
CYP4A22	209	267	185	267	230	423
CYP4B7	23	42	32	22	34	162
CYP4F11	241	147	127	200	154	198
CYP4V2	169	278	230	296	313	348
CYP51A1	2430	1654	1792	1638	1373	2122
CYP7A1	2	1	0	0	1	3
CYP7B1	425	604	857	687	921	488
CYP8B1	0	0	0	0	0	0
CYR61	769	417	847	541	604	570
CYSLTR1	173	108	142	199	275	179
CYSLTR2	62	68	101	182	152	103
CYSRT1	22	5	5	30	12	10
CYSTM1	1010	606	500	984	655	959
CYTH1	2346	2100	1780	3061	2554	2086
CYTH3	53	146	142	98	192	166
CYTH4	129	189	171	423	439	175
CYTIP	82	118	98	335	196	91
CYTL1	124	30	114	66	56	30
CYYR1	197	91	104	115	196	153
CZH18ORF25	652	640	625	547	546	906
CZIB	669	389	518	441	603	554
D2HGDH	279	263	296	400	329	367
DAAM1	361	595	565	499	669	584
DAAM2	864	1539	2118	885	2053	1117
DAB1	168	238	233	126	251	89
DAB2	7570	9909	9733	7697	7723	15254
DAB2IP	2743	4212	3757	4135	4370	5562
DACH1	48	53	56	68	107	59
DACH2	103	86	96	113	136	157
DACT1	2330	3732	3509	2661	3919	3197
DACT2	69	78	98	74	278	105
DAD1	1590	1101	1257	1672	1277	1519
DAG1	4559	5299	4183	6291	4922	6278
DAGLA	417	717	565	642	1251	701
DAGLB	255	350	291	357	408	390
DALRD3	653	666	514	836	677	911
DAO	269	339	484	508	752	836
DAP	2027	1746	2101	2369	2150	1802
DAP3	1002	769	671	839	634	1298
DAPK1	316	566	521	675	682	448
DAPK2	83	89	97	111	109	81
DAPK3	2671	2652	2606	2704	3004	2996
DAPL1	232	241	157	181	209	300
DAPP1	580	595	292	477	606	513
DARS	1833	1565	1324	1802	1653	1903
DARS2	748	476	407	531	593	498
DAW1	66	49	28	50	71	70
DAZAP1	1300	1212	980	1393	1259	1424
DAZAP2	435	560	506	1019	705	604
DAZL	656	664	324	446	706	880
DBF4	616	690	429	456	651	659
DBF4B	1383	1054	583	864	787	1597
DBH	311	504	205	323	1523	642
DBI	1493	905	990	1474	1123	1253
DBN1	681	588	632	678	729	690
DBNDD1	616	470	435	557	395	791
DBNDD2	637	479	413	540	538	642
DBNL	2773	1970	1968	3372	2615	2640
DBR1	1477	1558	1454	1563	1611	1545
DBT	680	603	739	619	744	873
DBX2	357	241	265	214	37	251
DCAF1	1021	1149	1119	1389	1379	1421
DCAF10	606	747	819	857	846	1031
DCAF11	666	607	662	667	533	682
DCAF12L2	1323	1875	1529	1775	1481	2094
DCAF13	1847	1882	1701	1747	1905	1908
DCAF15	669	625	511	772	478	844
DCAF17	78	125	120	83	146	59
DCAF4L2	562	441	454	462	393	539
DCAF5	1020	1221	970	1026	1173	1393
DCAF6	1112	950	1031	1017	1287	973
DCAF7	1170	1468	1240	1378	1433	1836
DCAF8	1664	1838	1551	2126	1525	2170
DCAKD	148	135	97	130	110	266
DCBLD1	417	608	534	480	379	495
DCBLD2	2253	2447	3088	2642	2850	2293
DCDC1	0	4	1	3	5	1
DCDC2	29	54	42	33	106	73
DCDC2B	173	225	171	218	182	288
DCHS1	661	1910	2053	1947	1794	1727
DCHS2	0	0	0	5	0	0
DCK	271	296	213	298	234	292
DCK2	266	196	265	325	179	224
DCLK1	742	746	650	635	602	1385
DCLK2	287	324	415	297	449	448
DCLK3	324	378	165	500	449	464
DCLRE1A	554	473	278	357	415	560
DCLRE1B	329	471	334	475	400	792
DCLRE1C	61	80	72	62	78	61
DCN	6394	4086	5404	4087	7357	4389
DCP1A	324	410	448	334	514	337
DCP1B	280	405	412	333	412	394
DCP2	331	536	507	496	513	605
DCPS	1118	568	1220	651	768	1104
DCST2	8	6	4	0	4	13
DCSTAMP	78	50	33	286	205	8
DCT	415	1703	894	1073	469	1222
DCTD	406	235	397	304	265	586
DCTN1	7020	6138	5484	6842	5601	7676
DCTN2	2781	2150	1922	2639	2298	2564
DCTN3	1258	963	911	1118	1067	1129
DCTN4	2048	2291	1988	2270	2180	2872
DCTN5	508	618	508	556	650	812
DCTN6	907	743	719	871	715	994
DCUN1D1	256	335	316	285	330	347
DCUN1D2	297	247	305	213	311	279
DCUN1D3	521	670	586	633	669	668
DCUN1D4	716	686	579	524	778	713
DCUN1D5	400	315	290	340	366	432
DCX	390	651	479	443	858	1195
DCXR	459	461	336	497	437	459
DD1CR	1	0	0	3	5	7
DDA1	2307	2174	1957	2142	2283	1880
DDAH1	317	920	598	750	694	1190
DDB1	1678	1897	1745	2264	2096	2007
DDB2	675	670	682	756	646	959
DDC	8	58	20	93	522	64
DDEFL1	235	383	265	819	463	487
DDHD1	510	575	627	655	475	650
DDHD2	727	934	662	762	804	1273
DDI2	1229	1661	1671	1826	1903	1925
DDIAS	160	213	173	246	208	286
DDIT4	4088	1656	3194	3208	3821	2724
DDO	138	105	146	92	101	143
DDOST	3802	2787	2859	3913	2757	3359
DDR1	1458	2460	1951	2178	2091	3104
DDR2	496	442	454	369	609	434
DDRGK1	945	819	833	1014	1054	788
DDTL	2390	2420	1680	2418	1811	2838
DDX1	2325	2224	2091	2099	2065	1922
DDX10	443	421	397	339	336	407
DDX11	740	948	498	832	468	1439
DDX17	4343	5651	6885	7616	8770	5375
DDX18	892	932	717	818	759	601
DDX19	3014	3110	2937	3489	2773	4160
DDX20	708	657	490	571	705	878
DDX21	1277	973	1011	1060	1126	992
DDX23	141	115	95	191	120	136
DDX24	382	390	401	372	396	308
DDX25	137	73	99	77	122	109
DDX27	1151	1256	1145	1111	1186	1095
DDX28	391	327	265	394	413	396
DDX31	839	906	744	822	832	1053
DDX3X	17410	20737	22890	20693	26787	16724
DDX4	59	59	40	40	59	53
DDX41	1485	1861	1411	1908	1461	2719
DDX42	1323	1901	1676	1797	1909	2092
DDX43	128	131	47	69	129	160
DDX46	696	1036	1042	1022	1192	807
DDX47	802	762	624	625	679	704
DDX49	1230	1238	965	1150	850	1646
DDX5	8476	7283	7496	9567	10003	7439
DDX51	716	632	549	607	504	713
DDX52	509	536	419	379	461	586
DDX54	1003	912	739	1083	889	1077
DDX55	215	212	206	175	224	175
DDX59	483	454	383	383	377	528
DDX6	2098	2554	2526	2916	3163	2325
DDX60	29	16	27	25	48	10
DEAF1	269	344	213	319	308	383
DECR1	974	772	759	1129	851	753
DECR2	2970	2591	1872	2594	2033	3362
DEDD	10	2	3	3	5	24
DEF6	608	535	496	945	853	610
DEF8	1156	1113	730	1082	658	1655
DEFB4A	1475	4758	2295	19649	14285	107
DEGS1	2498	2701	1937	2840	3070	2906
DEGS2	103	131	218	55	62	91
DEK	658	678	628	655	875	551
DELE	845	1037	848	908	952	917
DENND1A	626	863	882	926	1008	891
DENND1B	317	534	490	614	749	446
DENND2A	880	1093	1096	1000	1499	762
DENND2C	331	336	363	379	366	346
DENND2D	724	957	600	855	572	1290
DENND3	278	338	282	348	391	480
DENND4A	653	1247	1239	1053	1388	1005
DENND4C	389	692	757	719	878	882
DENND5A	658	1070	1160	1089	1473	837
DENND5B	1075	1808	1520	2012	1657	2737
DENND6A	424	473	510	500	545	425
DENND6B	398	508	496	492	542	681
DENR	207	169	169	168	141	181
DEPDC1	580	603	352	458	559	693
DEPDC1B	119	163	112	137	154	194
DEPDC5	1417	2252	1597	2227	2035	3194
DEPDC7	1344	1778	711	1082	1481	1893
DEPTOR	1606	1874	2530	1768	2208	1738
DERA	425	378	332	407	369	359
DERL1	2085	1852	1793	2165	2106	2033
DERL2	484	400	368	353	406	369
DERL3	1069	870	794	1298	741	1292
DES	53810	33439	24996	10488	43014	26440
DESI1	2950	3053	2388	2732	2899	4038
DESI2	392	481	381	399	420	507
DET1	1268	1698	1529	1807	1542	2452
DEUP1	4	3	8	17	9	5
DEXI	53	59	75	58	72	58
DFFA	609	626	564	556	540	744
DFFB	447	478	412	431	517	509
DFNA5	1474	1521	1319	1069	1216	1486
DFNB59	3	7	3	10	11	1
DGAT2	2550	3481	2315	2967	1956	5150
DGCR14	594	622	449	468	569	706
DGCR2	1444	1693	1569	1818	1690	1767
DGCR6	1708	1313	1200	1723	1319	1835
DGCR8	291	635	549	543	842	451
DGKA	636	583	376	675	566	820
DGKB	89	115	88	62	150	158
DGKD	1330	2426	1859	2971	2480	3176
DGKE	494	902	930	924	1123	871
DGKG	341	481	361	197	447	390
DGKH	224	615	651	432	813	450
DGKI	13	12	14	11	21	36
DGKK	16	25	15	56	35	10
DGKQ	3074	5761	4702	4010	3383	8104
DGKZ	3044	3084	2135	3487	2761	3895
DGUOK	1087	787	749	813	667	1124
DHCR24	1806	1343	1928	1845	1760	2025
DHCR7	781	674	719	646	724	1065
DHDDS	1188	1081	829	1091	1159	1338
DHDH	165	115	154	183	117	181
DHFR	152	105	118	113	127	116
DHH	98	112	136	83	236	107
DHODH	925	659	609	855	694	1131
DHRS11	667	708	635	640	444	1083
DHRS12	122	139	184	161	278	154
DHRS13	292	273	298	349	433	412
DHRS3	2924	2886	3360	3167	3457	2273
DHRS4	1071	585	832	875	783	835
DHRS7	3181	2206	2168	2653	2592	2409
DHRS7B	1033	1295	1177	1126	1335	2011
DHRS7C	2	1	0	2	1	1
DHRSX	407	342	377	355	346	504
DHTKD1	958	1123	953	926	1051	1550
DHX15	1797	1646	1684	1958	1976	1553
DHX29	340	658	751	662	786	606
DHX30	2582	2643	2276	3097	2701	3610
DHX32	22	14	8	21	19	14
DHX33	1528	1409	1041	1427	1097	1841
DHX34	360	478	394	586	459	677
DHX35	138	232	219	214	270	269
DHX36	1469	1523	1261	1357	1374	2025
DHX37	748	818	513	727	606	987
DHX38	1883	2023	1885	2526	2229	2398
DHX40	919	904	731	842	911	1127
DHX57	1360	1462	1401	1254	2014	2089
DHX58	305	211	330	362	409	172
DHX8	1004	1297	1134	1258	1474	1334
DIABLO	1054	976	755	930	843	1038
DIAPH2	807	1573	1752	1818	1945	1137
DIAPH3	198	158	168	209	145	336
DICER1	299	588	607	494	709	587
DIDO1	577	949	986	917	1141	952
DIEXF	467	601	472	572	534	605
DIMT1	381	293	235	310	256	335
DIO1	4	4	12	14	5	8
DIO2	67	32	44	113	55	61
DIO3	3108	1794	1608	3137	2056	2019
DIP2A	933	1284	1538	1382	1449	1349
DIP2B	1599	3034	2986	3650	3655	2851
DIP2C	491	1133	994	758	961	956
DIPK2A	350	455	563	569	565	380
DIRAS1	120	113	68	65	110	174
DIRAS2	73	104	123	67	118	92
DIRC2	461	536	483	641	498	756
DIS3	440	383	348	329	338	300
DIS3L	347	411	400	421	511	376
DIS3L2	574	625	526	632	573	766
DISC1	281	408	331	328	533	518
DISP1	1467	1726	1523	1742	1523	1740
DISP2	35	46	45	41	73	114
DISP3	453	897	1049	925	1466	793
DIXDC1	272	280	228	299	311	425
DKC1	2708	2519	2422	2557	2743	2971
DKK2	75	231	120	222	205	83
DKK3	4636	2633	3776	2256	3261	3605
DKK4	51	65	24	39	108	100
DLAT	1397	1320	1218	1293	1251	1634
DLC1	931	1616	1804	1472	1908	1522
DLD	2976	2602	2382	2586	2639	3346
DLEC1	141	115	149	116	117	149
DLEU7	0	2	0	0	0	0
DLG1	678	1201	1101	1223	1402	915
DLG2	75	142	119	107	490	134
DLG3	390	480	378	404	452	582
DLG5	304	466	578	496	575	506
DLGAP1	31	11	6	2	21	18
DLGAP2	46	94	68	82	184	328
DLGAP3	34	19	15	30	50	12
DLGAP4	1539	1763	1382	1346	1540	2028
DLGAP5	862	1043	862	1081	1155	1242
DLK1	19	17	15	28	46	26
DLK2	46	29	43	31	25	20
DLL1	172	191	224	194	213	398
DLL4	1072	1497	1170	1300	1304	2002
DLST	4028	3865	3318	4012	3651	5024
DLX1	9	10	9	5	10	33
DLX2	9	10	9	6	5	47
DLX3	17	26	15	19	18	31
DLX4	2	1	0	1	0	0
DLX5	41	20	2	6	18	89
DLX6	43	48	20	13	24	223
DM5L	69	123	76	76	125	150
DMA	871	407	402	1453	1154	501
DMAP1	745	795	862	978	943	981
DMB1	21	30	17	40	54	7
DMB2	1221	699	1094	1943	2007	679
DMBT1	815	346	292	1748	1382	412
DMBX1	3	0	6	2	4	11
DMC1	14	42	68	44	61	29
DMD	1943	4080	3626	2876	4349	3806
DMGDH	7	21	22	15	23	17
DMP1	17	6	7	36	9	7
DMRT1	137	105	83	103	191	149
DMRT2	31	16	10	7	85	44
DMRT3	0	0	2	1	8	5
DMRTA2	16	13	3	11	4	67
DMRTB1	62	91	24	71	44	151
DMTF1	391	474	582	600	688	517
DMTN	290	491	635	563	789	344
DMXL1	329	940	921	881	1044	853
DMXL2	317	749	681	700	818	979
DNA2	494	395	363	463	362	682
DNAAF1	84	109	121	128	98	161
DNAAF2	151	135	119	150	123	251
DNAAF5	526	529	450	522	475	702
DNAAF8	1040	1288	802	905	1617	1798
DNAAF9	1197	2887	3519	1576	4335	1795
DNAH1	400	610	169	438	596	614
DNAH10	17	27	23	26	28	42
DNAH11	14	6	1	3	7	8
DNAH12	95	243	112	114	222	267
DNAH14	4	10	3	0	3	2
DNAH17	329	388	270	346	452	303
DNAH3	142	380	209	285	478	385
DNAH5	20	33	15	27	12	30
DNAH5L	96	65	39	48	67	161
DNAH7	620	533	461	524	618	612
DNAH8	17	35	14	12	15	64
DNAH9	134	140	106	156	133	170
DNAI1	48	66	42	33	59	78
DNAI2	26	37	16	30	30	44
DNAJA1	4471	4471	3709	4161	4218	5035
DNAJA2	2099	1702	1746	1673	1869	1956
DNAJA3	1404	1304	1184	1309	1080	1708
DNAJA4	3023	2219	1960	1739	2096	2275
DNAJB1	4005	3457	2612	3515	3067	4615
DNAJB11	1577	1168	1084	1426	1033	1257
DNAJB12	1637	1372	1232	1576	1215	1754
DNAJB13	12	29	20	26	37	16
DNAJB14	1848	1617	1596	1751	1556	1761
DNAJB2	2823	2083	1833	2279	2023	2766
DNAJB4	1672	1731	1934	1510	2435	1387
DNAJB5	371	453	324	225	640	416
DNAJB6	2501	2351	2352	1924	2363	2200
DNAJB8	0	0	0	0	0	0
DNAJB9	884	1100	757	808	1058	999
DNAJC1	640	437	535	517	554	480
DNAJC10	1052	883	1016	927	1133	1189
DNAJC11	2735	3134	2265	2549	3501	3877
DNAJC12	259	228	305	215	300	191
DNAJC13	2263	2832	2790	2399	2592	3620
DNAJC14	2849	1904	1846	2627	1788	2217
DNAJC15	274	243	184	249	421	233
DNAJC16	623	875	866	1130	1004	1136
DNAJC17	287	311	209	279	234	408
DNAJC18	2951	2542	2104	2229	1954	3512
DNAJC19	390	350	296	307	313	381
DNAJC2	557	460	466	521	508	482
DNAJC21	689	640	599	476	524	738
DNAJC22	6	3	3	3	5	18
DNAJC24	268	260	247	306	279	260
DNAJC25	444	407	326	396	413	389
DNAJC27	512	885	596	811	739	1411
DNAJC28	236	110	107	118	177	193
DNAJC3	2351	2444	2364	2690	3001	2143
DNAJC30	929	706	512	901	766	698
DNAJC5	316	696	538	544	511	994
DNAJC5B	0	2	0	0	17	1
DNAJC5G	323	238	194	287	203	288
DNAJC6	846	1149	700	891	559	2162
DNAJC7	2472	2432	2106	2354	2499	2525
DNAJC8	1767	1602	1370	1304	1616	1619
DNAJC9	2708	2236	1558	1974	1550	3413
DNAL1	24	28	44	43	65	35
DNAL4	400	335	302	416	308	651
DNALI1	101	76	88	72	102	101
DNASE1	0	3	1	0	1	2
DNASE1L2	33	24	16	33	54	34
DNASE1L3	164	103	114	199	141	185
DNASE2B	613	615	859	1971	1559	913
DND1	22	15	12	18	52	29
DNER	160	151	133	93	269	183
DNLZ	464	283	274	367	349	373
DNM1	2645	3016	2386	2632	2929	4119
DNM1L	1729	1766	1616	1920	2293	2039
DNM3	106	170	174	159	297	189
DNMBP	1924	2557	1962	2221	2427	3431
DNMT1	1064	1313	1305	1995	1441	1209
DNMT3A	2070	1339	1795	2570	2069	1508
DNMT3B	547	580	452	555	528	994
DNPEP	1627	1379	1424	1640	1435	1943
DNTT	66	82	32	49	100	107
DNTTIP1	1277	880	835	1003	759	1369
DNTTIP2	619	576	599	627	648	553
DOC2B	27	20	20	9	239	26
DOCK1	1309	1937	1965	1906	2412	1818
DOCK10	1133	1593	1529	1729	1854	1477
DOCK11	640	1192	992	1871	2005	800
DOCK2	324	557	416	1244	1055	449
DOCK3	139	344	217	184	333	446
DOCK4	254	407	615	578	690	441
DOCK5	599	1370	1156	1162	1603	2079
DOCK7	1046	1497	1625	1423	1545	1490
DOCK8	359	686	785	1502	1164	578
DOCK9	633	1393	1455	1184	1713	1013
DOHH	1932	1884	1258	1822	1383	2547
DOK1	1251	1020	739	1357	907	1354
DOK2	206	234	158	702	464	121
DOK3	2	3	8	15	9	12
DOK4	551	325	346	521	362	400
DOK5	377	325	314	193	315	446
DOK6	209	440	446	339	360	425
DOK7	89	190	87	132	157	224
DOLK	291	212	173	179	252	337
DOLPP1	370	372	283	351	341	406
DONSON	206	127	81	165	142	163
DOP1B	147	483	402	448	550	410
DOPEY2	843	1434	1137	1215	1216	2143
DOT1L	972	1756	1603	1596	1929	1665
DPAGT1	1493	1637	1527	1832	1629	1902
DPCD	167	90	122	119	116	187
DPEP1	25	13	5	16	21	15
DPEP2	384	428	426	605	818	950
DPF2	621	770	688	874	863	850
DPF3	375	556	462	509	576	975
DPH1	1081	883	714	773	811	1282
DPH2	380	408	264	311	167	495
DPH3P1	962	890	929	832	995	936
DPH5	411	379	322	459	402	517
DPH6	302	229	224	241	271	341
DPH7	1862	1911	1596	1823	1457	1901
DPM1	622	556	475	494	552	501
DPM2	720	552	582	712	557	884
DPP10	230	351	333	310	675	352
DPP4	178	204	167	223	232	165
DPP6	133	191	100	74	207	204
DPP7	1268	1484	1176	2044	1370	1967
DPP8	656	791	757	714	774	869
DPP9	1526	1793	1421	1633	1699	2426
DPT	472	510	485	188	843	438
DPY19L1	900	1102	1141	822	1220	934
DPY19L3	97	199	263	203	266	149
